,birth_date,contact_details_0_type,contact_details_0_value,contact_details_1_type,contact_details_1_value,contact_details_2_type,contact_details_2_value,death_date,email,family_name,gender,given_name,honorific_prefix,id,identifiers_0_identifier,identifiers_0_scheme,identifiers_10_identifier,identifiers_10_scheme,identifiers_11_identifier,identifiers_11_scheme,identifiers_12_identifier,identifiers_12_scheme,identifiers_13_identifier,identifiers_13_scheme,identifiers_14_identifier,identifiers_14_scheme,identifiers_15_identifier,identifiers_15_scheme,identifiers_16_identifier,identifiers_16_scheme,identifiers_17_identifier,identifiers_17_scheme,identifiers_18_identifier,identifiers_18_scheme,identifiers_19_identifier,identifiers_19_scheme,identifiers_1_identifier,identifiers_1_scheme,identifiers_20_identifier,identifiers_20_scheme,identifiers_21_identifier,identifiers_21_scheme,identifiers_2_identifier,identifiers_2_scheme,identifiers_3_identifier,identifiers_3_scheme,identifiers_4_identifier,identifiers_4_scheme,identifiers_5_identifier,identifiers_5_scheme,identifiers_6_identifier,identifiers_6_scheme,identifiers_7_identifier,identifiers_7_scheme,identifiers_8_identifier,identifiers_8_scheme,identifiers_9_identifier,identifiers_9_scheme,image,images_0_url,images_1_url,links_0_note,links_0_url,links_10_note,links_10_url,links_11_note,links_11_url,links_12_note,links_12_url,links_13_note,links_13_url,links_14_note,links_14_url,links_15_note,links_15_url,links_16_note,links_16_url,links_17_note,links_17_url,links_18_note,links_18_url,links_19_note,links_19_url,links_1_note,links_1_url,links_20_note,links_20_url,links_21_note,links_21_url,links_22_note,links_22_url,links_23_note,links_23_url,links_24_note,links_24_url,links_25_note,links_25_url,links_26_note,links_26_url,links_27_note,links_27_url,links_28_note,links_28_url,links_29_note,links_29_url,links_2_note,links_2_url,links_30_note,links_30_url,links_31_note,links_31_url,links_32_note,links_32_url,links_33_note,links_33_url,links_34_note,links_34_url,links_35_note,links_35_url,links_36_note,links_36_url,links_37_note,links_37_url,links_38_note,links_38_url,links_39_note,links_39_url,links_3_note,links_3_url,links_40_note,links_40_url,links_41_note,links_41_url,links_42_note,links_42_url,links_43_note,links_43_url,links_44_note,links_44_url,links_45_note,links_45_url,links_46_note,links_46_url,links_47_note,links_47_url,links_48_note,links_48_url,links_49_note,links_49_url,links_4_note,links_4_url,links_50_note,links_50_url,links_51_note,links_51_url,links_52_note,links_52_url,links_53_note,links_53_url,links_54_note,links_54_url,links_55_note,links_55_url,links_56_note,links_56_url,links_57_note,links_57_url,links_58_note,links_58_url,links_59_note,links_59_url,links_5_note,links_5_url,links_60_note,links_60_url,links_61_note,links_61_url,links_62_note,links_62_url,links_63_note,links_63_url,links_64_note,links_64_url,links_65_note,links_65_url,links_66_note,links_66_url,links_67_note,links_67_url,links_68_note,links_68_url,links_69_note,links_69_url,links_6_note,links_6_url,links_70_note,links_70_url,links_71_note,links_71_url,links_72_note,links_72_url,links_73_note,links_73_url,links_74_note,links_74_url,links_75_note,links_75_url,links_76_note,links_76_url,links_77_note,links_77_url,links_78_note,links_78_url,links_79_note,links_79_url,links_7_note,links_7_url,links_80_note,links_80_url,links_81_note,links_81_url,links_82_note,links_82_url,links_83_note,links_83_url,links_84_note,links_84_url,links_85_note,links_85_url,links_86_note,links_86_url,links_87_note,links_87_url,links_88_note,links_88_url,links_89_note,links_89_url,links_8_note,links_8_url,links_90_note,links_90_url,links_91_note,links_91_url,links_92_note,links_92_url,links_93_note,links_93_url,links_94_note,links_94_url,links_95_note,links_95_url,links_9_note,links_9_url,name,other_names_0_lang,other_names_0_name,other_names_0_note,other_names_100_lang,other_names_100_name,other_names_100_note,other_names_101_lang,other_names_101_name,other_names_101_note,other_names_10_lang,other_names_10_name,other_names_10_note,other_names_11_lang,other_names_11_name,other_names_11_note,other_names_12_lang,other_names_12_name,other_names_12_note,other_names_13_lang,other_names_13_name,other_names_13_note,other_names_14_lang,other_names_14_name,other_names_14_note,other_names_15_lang,other_names_15_name,other_names_15_note,other_names_16_lang,other_names_16_name,other_names_16_note,other_names_17_lang,other_names_17_name,other_names_17_note,other_names_18_lang,other_names_18_name,other_names_18_note,other_names_19_lang,other_names_19_name,other_names_19_note,other_names_1_lang,other_names_1_name,other_names_1_note,other_names_20_lang,other_names_20_name,other_names_20_note,other_names_21_lang,other_names_21_name,other_names_21_note,other_names_22_lang,other_names_22_name,other_names_22_note,other_names_23_lang,other_names_23_name,other_names_23_note,other_names_24_lang,other_names_24_name,other_names_24_note,other_names_25_lang,other_names_25_name,other_names_25_note,other_names_26_lang,other_names_26_name,other_names_26_note,other_names_27_lang,other_names_27_name,other_names_27_note,other_names_28_lang,other_names_28_name,other_names_28_note,other_names_29_lang,other_names_29_name,other_names_29_note,other_names_2_lang,other_names_2_name,other_names_2_note,other_names_30_lang,other_names_30_name,other_names_30_note,other_names_31_lang,other_names_31_name,other_names_31_note,other_names_32_lang,other_names_32_name,other_names_32_note,other_names_33_lang,other_names_33_name,other_names_33_note,other_names_34_lang,other_names_34_name,other_names_34_note,other_names_35_lang,other_names_35_name,other_names_35_note,other_names_36_lang,other_names_36_name,other_names_36_note,other_names_37_lang,other_names_37_name,other_names_37_note,other_names_38_lang,other_names_38_name,other_names_38_note,other_names_39_lang,other_names_39_name,other_names_39_note,other_names_3_lang,other_names_3_name,other_names_3_note,other_names_40_lang,other_names_40_name,other_names_40_note,other_names_41_lang,other_names_41_name,other_names_41_note,other_names_42_lang,other_names_42_name,other_names_42_note,other_names_43_lang,other_names_43_name,other_names_43_note,other_names_44_lang,other_names_44_name,other_names_44_note,other_names_45_lang,other_names_45_name,other_names_45_note,other_names_46_lang,other_names_46_name,other_names_46_note,other_names_47_lang,other_names_47_name,other_names_47_note,other_names_48_lang,other_names_48_name,other_names_48_note,other_names_49_lang,other_names_49_name,other_names_49_note,other_names_4_lang,other_names_4_name,other_names_4_note,other_names_50_lang,other_names_50_name,other_names_50_note,other_names_51_lang,other_names_51_name,other_names_51_note,other_names_52_lang,other_names_52_name,other_names_52_note,other_names_53_lang,other_names_53_name,other_names_53_note,other_names_54_lang,other_names_54_name,other_names_54_note,other_names_55_lang,other_names_55_name,other_names_55_note,other_names_56_lang,other_names_56_name,other_names_56_note,other_names_57_lang,other_names_57_name,other_names_57_note,other_names_58_lang,other_names_58_name,other_names_58_note,other_names_59_lang,other_names_59_name,other_names_59_note,other_names_5_lang,other_names_5_name,other_names_5_note,other_names_60_lang,other_names_60_name,other_names_60_note,other_names_61_lang,other_names_61_name,other_names_61_note,other_names_62_lang,other_names_62_name,other_names_62_note,other_names_63_lang,other_names_63_name,other_names_63_note,other_names_64_lang,other_names_64_name,other_names_64_note,other_names_65_lang,other_names_65_name,other_names_65_note,other_names_66_lang,other_names_66_name,other_names_66_note,other_names_67_lang,other_names_67_name,other_names_67_note,other_names_68_lang,other_names_68_name,other_names_68_note,other_names_69_lang,other_names_69_name,other_names_69_note,other_names_6_lang,other_names_6_name,other_names_6_note,other_names_70_lang,other_names_70_name,other_names_70_note,other_names_71_lang,other_names_71_name,other_names_71_note,other_names_72_lang,other_names_72_name,other_names_72_note,other_names_73_lang,other_names_73_name,other_names_73_note,other_names_74_lang,other_names_74_name,other_names_74_note,other_names_75_lang,other_names_75_name,other_names_75_note,other_names_76_lang,other_names_76_name,other_names_76_note,other_names_77_lang,other_names_77_name,other_names_77_note,other_names_78_lang,other_names_78_name,other_names_78_note,other_names_79_lang,other_names_79_name,other_names_79_note,other_names_7_lang,other_names_7_name,other_names_7_note,other_names_80_lang,other_names_80_name,other_names_80_note,other_names_81_lang,other_names_81_name,other_names_81_note,other_names_82_lang,other_names_82_name,other_names_82_note,other_names_83_lang,other_names_83_name,other_names_83_note,other_names_84_lang,other_names_84_name,other_names_84_note,other_names_85_lang,other_names_85_name,other_names_85_note,other_names_86_lang,other_names_86_name,other_names_86_note,other_names_87_lang,other_names_87_name,other_names_87_note,other_names_88_lang,other_names_88_name,other_names_88_note,other_names_89_lang,other_names_89_name,other_names_89_note,other_names_8_lang,other_names_8_name,other_names_8_note,other_names_90_lang,other_names_90_name,other_names_90_note,other_names_91_lang,other_names_91_name,other_names_91_note,other_names_92_lang,other_names_92_name,other_names_92_note,other_names_93_lang,other_names_93_name,other_names_93_note,other_names_94_lang,other_names_94_name,other_names_94_note,other_names_95_lang,other_names_95_name,other_names_95_note,other_names_96_lang,other_names_96_name,other_names_96_note,other_names_97_lang,other_names_97_name,other_names_97_note,other_names_98_lang,other_names_98_name,other_names_98_note,other_names_99_lang,other_names_99_name,other_names_99_note,other_names_9_lang,other_names_9_name,other_names_9_note,sort_name
0,1954-03-21,twitter,nueday,,,,,,,Kelly,female,De-Anne,,004e5075-34b7-4ba5-b53b-f992a28ea6dc,10357,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,/m/02r6hn,freebase,,,,,10357,openaustralia,Q5243805,wikidata,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/De-Anne_Kelly,,,,,,,,,,,,,,,,,,,,,twitter,https://twitter.com/nueday,,,,,,,,,,,,,,,,,,,,,wikipedia,http://en.wikipedia.org/wiki/De-Anne_Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De-Anne Kelly,da,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nn,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sv,De-Anne Kelly,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kelly, De-Anne"
0,1925-06-15,,,,,,,,,Millar,male,Percival,,00c2ed39-73db-43aa-a5b7-bea4508dbd5e,10457,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,10457,openaustralia,,,,,Q5127765,wikidata,,,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/Clarrie_Millar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percival Millar,,Clarrie Millar,alternate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de,Clarrie Millar,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Clarrie Millar,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,Clarrie Millar,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,Clarrie Millar,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,Clarrie Millar,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Millar, Percival"
0,1951-07-04,email,john.alexander.mp@aph.gov.au,twitter,JohnAlexanderMP,,,,john.alexander.mp@aph.gov.au,Alexander,male,John,,010ba615-63c1-466b-a425-5d127e12b8c3,M3M,aph,069018790,nta,10725,openaustralia,w6jr3nr7,snac,074163183,sudoc,288750435,viaf,Q1281683,wikidata,,,,,,,,,A014,atp,,,,,12023346q,bnf,10725,everypolitician_legacy,/m/066rzr,freebase,0000 0003 9431 5267,isni,10002216,itf,n82158512,lcauth,296237,nlg,000008454,nli,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M3M/upload_ref_binary/M3M.jpg,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M3M/upload_ref_binary/M3M.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1f/John_Alexander.jpg,Wikipedia (ar),https://ar.wikipedia.org/wiki/جون_ألكسندر_(سياسي_أسترالي),Wikipedia (sh),https://sh.wikipedia.org/wiki/John_Alexander_(tenis),Wikipedia (sv),https://sv.wikipedia.org/wiki/John_Alexander,Wikipedia (zh),https://zh.wikipedia.org/wiki/約翰·亞歷山大,facebook,https://facebook.com/100001834307725,facebook,https://facebook.com/John.Alexander.MP,twitter,https://twitter.com/JohnAlexanderMP,website,http://www.johnalexander.net.au/,,,,,,,Wikipedia (commons),https://commons.wikipedia.org/wiki/Category:John_Alexander,,,,,,,,,,,,,,,,,,,,,Wikipedia (de),https://de.wikipedia.org/wiki/John_Alexander_(Tennisspieler),,,,,,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/John_Alexander_(Australian_politician),,,,,,,,,,,,,,,,,,,,,Wikipedia (es),https://es.wikipedia.org/wiki/John_Alexander,,,,,,,,,,,,,,,,,,,,,Wikipedia (fr),https://fr.wikipedia.org/wiki/John_Alexander,,,,,,,,,,,,,,,,,,,,,Wikipedia (it),https://it.wikipedia.org/wiki/John_Alexander,,,,,,,,,,,,,,,,,,,,,Wikipedia (ja),https://ja.wikipedia.org/wiki/ジョン・アレクサンダー_(テニス選手),,,,,,,,,,,,,,,,,,,,,Wikipedia (pl),https://pl.wikipedia.org/wiki/John_Alexander,,,,,,,,,,,,,Wikipedia (pt),https://pt.wikipedia.org/wiki/John_Alexander,John Alexander,ar,جون ألكسندر,multilingual,,,,,,,hy,Ջոն Ալեքսանդր,multilingual,it,John Alexander,multilingual,ja,ジョン・アレクサンダー,multilingual,nb,John Alexander,multilingual,nl,John Alexander,multilingual,nn,John Alexander,multilingual,pl,John Alexander,multilingual,pt,John Alexander,multilingual,ru,Джон Александр,multilingual,sh,John Alexander,multilingual,da,John Alexander,multilingual,sv,John Alexander,multilingual,zh,約翰·亞歷山大,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,de,John Alexander,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,John Alexander,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,John Alexander,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eu,John Alexander,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fi,John Alexander,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,John Alexander,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he,ג'ון אלכסנדר,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,John Alexander,multilingual,"Alexander, John"
0,1954-02-13,twitter,senronno,,,,,,,Ronaldson,male,Michael,,012988dd-b93f-4bfe-95b8-27f3e5a56ee7,xt4,aph,,,,,,,,,,,,,,,,,,,,,10550,everypolitician_legacy,,,,,10550,openaustralia,Q6833958,wikidata,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/Michael_Ronaldson,,,,,,,,,,,,,,,,,,,,,Wikipedia (zh),https://zh.wikipedia.org/wiki/邁克·羅德森,,,,,,,,,,,,,,,,,,,,,facebook,https://facebook.com/senronno,,,,,,,,,,,,,,,,,,,,,twitter,https://twitter.com/senronno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Ronaldson,de,Michael Ronaldson,multilingual,,,,,,,zh-hant,羅納爾森,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Michael Ronaldson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,Michael Ronaldson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,Michael Ronaldson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,Michael Ronaldson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,Michael Ronaldson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,マイケル・ロナルドソン,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,Michael Ronaldson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zh,邁克·羅德森,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zh-cn,罗纳尔森,multilingual,"Ronaldson, Michael"
0,1946-08-28,,,,,,,2007-11-03,,Andren,male,Peter,,0267b78a-440a-414f-bf35-5284b9ebaa0d,10012,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,504569,fast,,,,,no2004009928,lcauth,10012,openaustralia,95127920,viaf,Q7172530,wikidata,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/Peter_Andren,,,,,,,,,,,,,,,,,,,,,wikipedia,http://en.wikipedia.org/wiki/Peter_Andren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Andren,de,Peter Andren,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Peter Andren,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,Peter Andren,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,Peter Andren,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,Peter Andren,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,Peter Andren,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,Peter Andren,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andren, Peter"
0,1947-01-07,,,,,,,,,Simmons,male,David,,02d4709a-6d26-4a09-811a-ab029a2acb00,10586,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,10586,openaustralia,,,,,Q5239805,wikidata,,,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/David_Simmons_(Australian_politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Simmons,de,David Simmons,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,David Simmons,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,David Simmons,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,David Simmons,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,David Simmons,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,David Simmons,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,Дэвид Симмонс,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Simmons, David"
0,1954-05-13,,,,,,,,,Smith,male,Warwick,,02d7dd8e-607c-400b-a69f-a9bc735a2448,10595,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,10595,openaustralia,,,,,153829097,viaf,Q7971193,wikidata,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/Warwick_Smith_(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warwick Smith,ar,وارويك سميث,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de,Warwick Smith,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Warwick Smith,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,Warwick Smith,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,Warwick Smith,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,Warwick Smith,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,Warwick Smith,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smith, Warwick"
0,1934-02-12,,,,,,,,,Webster,male,Alasdair,,031d4e75-e3d1-443a-995c-ac000480e05f,10663,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,10663,openaustralia,,,,,Q4708447,wikidata,,,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/Alasdair_Webster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alasdair Webster,de,Alasdair Webster,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Alasdair Webster,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,Alasdair Webster,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,Alasdair Webster,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Webster, Alasdair"
0,1966-04-07,,,,,,,,,Turnour,male,Jim,,03f8f171-fc97-48a6-a72b-6c64116160a9,10644,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,10644,openaustralia,,,,,Q6198626,wikidata,,,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/Jim_Turnour,,,,,,,,,,,,,,,,,,,,,wikipedia,http://en.wikipedia.org/wiki/Jim_Turnour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Turnour,de,Jim Turnour,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Jim Turnour,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,Jim Turnour,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,Jim Turnour,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turnour, Jim"
0,1958-03-16,,,,,,,,,Richardson,male,Kym,,0448f62d-f3ab-4aa1-86da-70c3fe73912d,10539,everypolitician_legacy,,,,,,,,,,,,,,,,,,,,,10539,openaustralia,,,,,Q6451741,wikidata,,,,,,,,,,,,,,,,,,Wikipedia (en),https://en.wikipedia.org/wiki/Kym_Richardson,,,,,,,,,,,,,,,,,,,,,wikipedia,http://en.wikipedia.org/wiki/Kym_Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kym Richardson,de,Kym Richardson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Kym Richardson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,Kym Richardson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,Kym Richardson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,Kym Richardson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nl,Kym Richardson,multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Richardson, Kym"
